ts_utc,o,h,l,c,v
2026-01-22T14:45:00Z,480.00,480.15,479.90,480.05,1000
2026-01-22T14:46:00Z,480.05,480.18,479.98,480.10,1050
2026-01-22T14:47:00Z,480.10,480.22,480.00,480.08,980
2026-01-22T14:48:00Z,480.08,480.20,479.95,480.00,1100
2026-01-22T14:49:00Z,480.00,480.12,479.85,479.92,1300
2026-01-22T14:50:00Z,479.92,480.05,479.80,479.88,1250
2026-01-22T14:51:00Z,479.88,480.10,479.82,479.95,1180
2026-01-22T14:52:00Z,479.95,480.14,479.90,480.02,1220
2026-01-22T14:53:00Z,480.02,480.20,479.96,480.12,1400
2026-01-22T14:54:00Z,480.12,480.28,480.05,480.22,1500
