ts_utc,o,h,l,c,v
2026-01-22T14:00:00Z,480.00,480.06,479.98,480.02,1000
2026-01-22T14:01:00Z,480.02,480.07,480.00,480.03,980
2026-01-22T14:02:00Z,480.03,480.08,480.01,480.04,1020
2026-01-22T14:03:00Z,480.04,480.08,480.00,480.02,1010
2026-01-22T14:04:00Z,480.02,480.06,479.99,480.01,995
2026-01-22T14:05:00Z,480.01,480.05,479.97,479.99,1005
2026-01-22T14:06:00Z,479.99,480.04,479.96,479.98,990
2026-01-22T14:07:00Z,479.98,480.03,479.95,479.97,985
2026-01-22T14:08:00Z,479.97,480.02,479.94,479.96,1015
2026-01-22T14:09:00Z,479.96,480.01,479.93,479.95,1000
2026-01-22T14:10:00Z,479.95,480.00,479.92,479.94,1005
2026-01-22T14:11:00Z,479.94,479.99,479.91,479.93,980
2026-01-22T14:12:00Z,479.93,479.98,479.90,479.92,1025
2026-01-22T14:13:00Z,479.92,479.97,479.89,479.91,990
2026-01-22T14:14:00Z,479.91,479.96,479.88,479.90,995
2026-01-22T14:15:00Z,479.90,479.95,479.87,479.89,1000
2026-01-22T14:16:00Z,479.89,479.96,479.88,479.92,1010
2026-01-22T14:17:00Z,479.92,479.98,479.90,479.95,1005
2026-01-22T14:18:00Z,479.95,480.02,479.93,479.99,1020
2026-01-22T14:19:00Z,479.99,480.05,479.97,480.03,1015
2026-01-22T14:20:00Z,480.03,480.08,480.01,480.06,980
2026-01-22T14:21:00Z,480.06,480.10,480.03,480.08,990
2026-01-22T14:22:00Z,480.08,480.12,480.05,480.10,1010
2026-01-22T14:23:00Z,480.10,480.13,480.06,480.09,1000
2026-01-22T14:24:00Z,480.09,480.12,480.04,480.07,995
2026-01-22T14:25:00Z,480.07,480.10,480.02,480.05,1005
2026-01-22T14:26:00Z,480.05,480.08,480.00,480.03,990
2026-01-22T14:27:00Z,480.03,480.06,479.98,480.01,985
2026-01-22T14:28:00Z,480.01,480.04,479.96,479.99,1015
2026-01-22T14:29:00Z,479.99,480.02,479.94,479.97,1000
2026-01-22T14:30:00Z,479.97,480.00,479.92,479.95,1005
2026-01-22T14:31:00Z,479.95,479.98,479.90,479.93,980
2026-01-22T14:32:00Z,479.93,479.96,479.88,479.91,1025
2026-01-22T14:33:00Z,479.91,479.94,479.86,479.89,990
2026-01-22T14:34:00Z,479.89,479.92,479.84,479.87,995
2026-01-22T14:35:00Z,479.87,479.90,479.82,479.85,1000
2026-01-22T14:36:00Z,479.85,479.89,479.83,479.86,1010
2026-01-22T14:37:00Z,479.86,479.91,479.84,479.88,1005
2026-01-22T14:38:00Z,479.88,479.94,479.86,479.91,1020
2026-01-22T14:39:00Z,479.91,479.98,479.89,479.95,1015
2026-01-22T14:40:00Z,479.95,480.02,479.93,479.99,980
2026-01-22T14:41:00Z,479.99,480.05,479.97,480.03,990
2026-01-22T14:42:00Z,480.03,480.08,480.01,480.06,1010
2026-01-22T14:43:00Z,480.06,480.10,480.03,480.08,1000
2026-01-22T14:44:00Z,480.08,480.12,480.04,480.07,995
2026-01-22T14:45:00Z,480.07,480.10,480.02,480.05,1005
2026-01-22T14:46:00Z,480.05,480.08,480.00,480.03,990
2026-01-22T14:47:00Z,480.03,480.06,479.98,480.01,985
2026-01-22T14:48:00Z,480.01,480.04,479.96,479.99,1015
2026-01-22T14:49:00Z,479.99,480.02,479.94,479.97,1000
2026-01-22T14:50:00Z,479.97,480.00,479.92,479.95,1005
2026-01-22T14:51:00Z,479.95,479.98,479.90,479.93,980
2026-01-22T14:52:00Z,479.93,479.96,479.88,479.91,1025
2026-01-22T14:53:00Z,479.91,479.94,479.86,479.89,990
2026-01-22T14:54:00Z,479.89,479.92,479.84,479.87,995
2026-01-22T14:55:00Z,479.87,479.90,479.82,479.85,1000
2026-01-22T14:56:00Z,479.85,479.89,479.83,479.86,1010
2026-01-22T14:57:00Z,479.86,479.91,479.84,479.88,1005
2026-01-22T14:58:00Z,479.88,479.94,479.86,479.91,1020
2026-01-22T14:59:00Z,479.91,479.98,479.89,479.95,1015
2026-01-22T15:00:00Z,479.95,480.02,479.93,479.99,980
2026-01-22T15:01:00Z,479.99,480.05,479.97,480.03,990
2026-01-22T15:02:00Z,480.03,480.08,480.01,480.06,1010
2026-01-22T15:03:00Z,480.06,480.10,480.03,480.08,1000
2026-01-22T15:04:00Z,480.08,480.12,480.04,480.07,995
2026-01-22T15:05:00Z,480.07,480.10,480.02,480.05,1005
2026-01-22T15:06:00Z,480.05,480.08,480.00,480.03,990
2026-01-22T15:07:00Z,480.03,480.06,479.98,480.01,985
2026-01-22T15:08:00Z,480.01,480.04,479.96,479.99,1015
2026-01-22T15:09:00Z,479.99,480.02,479.94,479.97,1000
2026-01-22T15:10:00Z,479.97,480.00,479.92,479.95,1005
2026-01-22T15:11:00Z,479.95,479.98,479.90,479.93,980
2026-01-22T15:12:00Z,479.93,479.96,479.88,479.91,1025
2026-01-22T15:13:00Z,479.91,479.94,479.86,479.89,990
2026-01-22T15:14:00Z,479.89,479.92,479.84,479.87,995
2026-01-22T15:15:00Z,479.87,479.90,479.82,479.85,1000
2026-01-22T15:16:00Z,479.85,479.89,479.83,479.86,1010
2026-01-22T15:17:00Z,479.86,479.91,479.84,479.88,1005
2026-01-22T15:18:00Z,479.88,479.94,479.86,479.91,1020
2026-01-22T15:19:00Z,479.91,479.98,479.89,479.95,1015
2026-01-22T15:20:00Z,479.95,480.02,479.93,479.99,980
2026-01-22T15:21:00Z,479.99,480.05,479.97,480.03,990
2026-01-22T15:22:00Z,480.03,480.08,480.01,480.06,1010
2026-01-22T15:23:00Z,480.06,480.10,480.03,480.08,1000
2026-01-22T15:24:00Z,480.08,480.12,480.04,480.07,995
2026-01-22T15:25:00Z,480.07,480.10,480.02,480.05,1005
2026-01-22T15:26:00Z,480.05,480.08,480.00,480.03,990
2026-01-22T15:27:00Z,480.03,480.06,479.98,480.01,985
2026-01-22T15:28:00Z,480.01,480.04,479.96,479.99,1015
2026-01-22T15:29:00Z,479.99,480.02,479.94,479.97,1000
2026-01-22T15:30:00Z,479.97,480.00,479.92,479.95,1005
2026-01-22T15:31:00Z,479.95,479.98,479.90,479.93,980
2026-01-22T15:32:00Z,479.93,479.96,479.88,479.91,1025
